epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,val_elbo
1,440.67737188476565,396.17512272460937,44.50224897613674,355.55811591796873,302.7408356445313,52.81727999267578,-355.55811563720704
2,346.48779125,289.58143126953127,56.90636018554687,338.7915251953125,274.87286655273437,63.9186581665039,-338.7915247192383
3,333.2031753027344,270.91099750976565,62.2921775366211,327.37654313964845,263.29878061523436,64.07776123046875,-327.3765418457031
4,327.43548580078124,262.4392177636719,64.99626823242187,327.14506376953125,260.6631326171875,66.48193211669921,-327.1450647338867
5,324.5108847460937,257.5015292089844,67.00935590576172,322.5151161376953,254.7882477783203,67.72686755371093,-322.51511533203126
6,322.36348607421877,254.02476098144533,68.33872499267578,320.82547978515623,252.8210263671875,68.00445456542968,-320.8254809326172
7,320.79708369140627,251.6376958203125,69.1593879663086,320.46598662109375,250.3133400390625,70.15264750976563,-320.46598754882814
8,319.8665121679687,249.9293472265625,69.9371650024414,318.94813891601564,247.3639332519531,71.584206640625,-318.9481398925781
9,318.8843875,248.36077381835938,70.52361377441406,320.3445207763672,250.4905212402344,69.85399875488281,-320.3445199951172
10,318.0667985839844,247.06225880371093,71.00453968505859,318.52524140625,248.2615642578125,70.26367725830079,-318.5252415161133
11,317.4002995410156,246.100552109375,71.29974770019531,317.96851811523436,246.65340034179687,71.31511864013672,-317.9685189819336
12,316.9198946484375,245.332511484375,71.58738323242187,318.5263480957031,245.92826135253907,72.59808751220703,-318.52634886474607
13,316.31894361328125,244.51002327636718,71.80892036376953,316.38762392578127,241.36946560058593,75.01815725097656,-316.38762285156247
14,315.9369152246094,243.80142412109376,72.13549094970703,315.9450350097656,244.16523173828125,71.77980480957031,-315.94503654785154
15,315.62142341796874,243.35613087402345,72.26529234863281,315.3790376953125,240.77204282226563,74.60699399414062,-315.37903681640626
16,315.1588043359375,242.68666323242186,72.47214083496094,315.18534658203123,243.42722788085936,71.7581177368164,-315.18534561767575
17,314.9763771875,242.28472309570313,72.69165371826172,314.7659475097656,241.99417548828126,72.77177299804687,-314.7659484863281
18,314.5690211132812,241.79214885253907,72.77687237304687,314.9384205810547,242.302556640625,72.63586359863281,-314.9384202392578
19,314.37770572265623,241.47915655273437,72.89854956054687,314.62710190429686,242.22610036621094,72.40099990234376,-314.6271002685547
20,314.04765669921875,240.9920304199219,73.0556262109375,313.7108845458984,239.7138826171875,73.99700314941406,-313.71088576660156
21,313.866203359375,240.74871833984375,73.1174855810547,315.15692421875,242.86711030273437,72.28981446533203,-315.1569247680664
22,313.61320185546873,240.4006245654297,73.21257774902344,314.32506030273436,239.21588513183593,75.10917567138672,-314.32506080322264
23,313.51779419921877,240.1680324609375,73.34976147705078,314.7688606933594,240.65835688476562,74.11050463867187,-314.7688615234375
24,313.30729903320315,239.97500397460936,73.33229469482421,313.50662138671873,240.3170061279297,73.18961457519531,-313.506620703125
25,313.17972627929686,239.7685149609375,73.41121101806641,313.42798984375,239.7704953125,73.65749447021484,-313.42798978271486
26,312.9693528515625,239.49026885742188,73.47908426269531,313.51797978515623,239.84950903320313,73.66847175292969,-313.51798078613285
27,312.92471373046874,239.36529759765625,73.55941657958985,313.48981135253905,239.55346787109374,73.93634262695312,-313.48981049804684
28,312.7584925390625,239.1717079394531,73.58678464599609,313.36809440917966,239.55432263183593,73.81377084960937,-313.36809348144527
29,312.64695018554687,238.92164155273437,73.72530810546876,313.39732119140626,239.91406838378907,73.48325144042968,-313.39731982421876
30,312.5744706933594,238.818783359375,73.75568716308594,313.37141455078125,239.37523295898438,73.99618172607421,-313.3714146850586
