epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,val_elbo
1,400.01462641601563,368.2772653466797,31.737362138287423,281.5543320800781,245.22789653320314,36.32643585205078,-281.55433238525393
2,223.05380109863282,179.94662656738282,43.10717437866211,202.8365637207031,156.80585939941406,46.030704138183594,-202.83656353759767
3,194.7852360498047,148.22753533203124,46.55770033325195,192.25876650390626,144.41306684570313,47.8456994140625,-192.25876625976562
4,184.80476288085939,135.63388374023438,49.17087889892578,182.23550974121093,132.4612893798828,49.77421972045899,-182.2355091003418
5,177.10253310546875,125.56079936279296,51.5417340234375,173.89510559082032,121.56391196289063,52.33119396972656,-173.89510593261718
6,170.31717908203126,117.05331398925782,53.26386512573242,170.294614453125,117.51422431640626,52.78039061889648,-170.29461493530275
7,167.73433896484374,113.29029353759766,54.44404537475586,168.54738459472657,112.48359526367187,56.063789331054686,-168.54738459472657
